FRD_ID,OWNER,BUILDING_NAME_LOCATION,STREET_NUMBER_GPS,STREET_NAME_GPS,SUBURB_GPS,STATE,POSTCODE,HEIGHT_RES,TOTAL_NUMBER_OF_BAYS,KERBSIDE_REF,BETWEEN_,OPEN,CLOSE,PREFERRED,URL,PHONE,COMMENTS,ROAD_DIRECTION_ACCESS,KERB,LAST_UPDATED,EDITED_BY,EDITED_ON,SHAPE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
FRD-029,Cinema Centre,521 Kent Street,521,Kent St,Sydney,NSW,2000,2,893,KEN-08,Druitt and Liverpool,0,0,,http://www.centro-parking.com.au/cinema-centre-car-park.html,02 9264 5867,,NORTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688604.6452,4422940.8525,9688604.6452,4422940.8525,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@36e221')",,,,
FRD-030,Secure,528 Kent Street,528,Kent St,Sydney,NSW,2000,2,893,KEN-08,Druitt and Liverpool,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/528-kent-street,02 8912 4900,Parking Only avaliable for Tenants and Visitors,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688638.3809,4422795.3756,9688638.3809,4422795.3756,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1109aa1')",,,,
FRD-031,Secure,ADC House,189,Kent St,Sydney,NSW,2000,1.8,110,KEN-02,Clarence and Margaret,700,1900,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/adc-house,02 8912 4900,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688548.5299,4424220.2409,9688548.5299,4424220.2409,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@147ec45')",,,,
FRD-032,Sun Parking,261-293 Kent Street,261,Kent St,Sydney,NSW,2000,2,642,KEN-03,Margaret and Erskine,930,0,,http://www.carparking.info/Sydney/Sun-Parking-Westpac-Place-Kent-Street/275-Kent-Street#.VWUL7U-eDGc,02 9299 2998,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688563.0052,4423880.2821,9688563.0052,4423880.2821,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@195da4b')",,,,
FRD-033,Wilson,55 Clarence Street,196,Kent St,Sydney,NSW,2000,1.8,111,KEN-02,Clarence and Margaret,700,1900,,https://www.wilsonparking.com.au/park/2074_55-Clarence-St-Car-Park_55-Clarence-St-Sydney,02 9006 3200,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688568.0136,4424039.1265,9688568.0136,4424039.1265,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@31c9f7')",,,,
FRD-035,Wilson,383 Kent Street,383,Kent St,Sydney,NSW,2000,2.1,56,KEN-05,King and Market,0,0,,https://www.wilsonparking.com.au/park/2235_383-Kent-St-Car-Park_383-Kent-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688581.4417,4423465.7421,9688581.4417,4423465.7421,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@12c4454')",,,,
FRD-036,Wilson,Citipark,431,Kent St,Sydney,NSW,2000,2,643,KEN-06,Market and Druitt,0,0,TRUE,https://www.wilsonparking.com.au/park/2021_Citipark-Car-Park_431-Kent-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688595.3117,4423338.512,9688595.3117,4423338.512,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@507e6d')",,,,
FRD-037,Wilson,St Andrew's House,464,Kent St,Sydney,NSW,2000,1.85,243,KEN-07,Druitt and Bathurst,600,0,TRUE,https://www.wilsonparking.com.au/park/2202_St-Andrews-House---Town-Hall-Car-Park_464-Kent-Street-Sydney,02 9006 3200,Height restriction is 3.6m on entry level; all other levels are 1.85m high,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688630.1598,4423068.5484,9688630.1598,4423068.5484,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@9319a1')",,,,
FRD-038,Secure,135 King St,135,King St,Sydney,NSW,2000,2,55,KIN-06,Pitt and Castlereagh,630,1830,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/135-king-street,02 8912 4900,Parking Only avaliable for Tenants and Visitors,EAST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688976.2299,4423559.5156,9688976.2299,4423559.5156,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@2151f9')",,,,
FRD-039,Wilson,MLC Centre Car Park,108,King St,Sydney,NSW,2000,1.85,285,KIN-06,Pitt and Castlereagh,600,0,,https://www.wilsonparking.com.au/park/2078_MLC-Centre-Car-Park_108-King-Street-Sydney,02 9006 3200,,EAST,NORTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688978.1641,4423579.9562,9688978.1641,4423579.9562,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1dd0b4c')",,,,
FRD-040,Wilson,259 George Street,9,Lang St,Sydney,NSW,2000,2.02,119,LAN-01,Grosvenor and Jamison,600,0,,https://www.wilsonparking.com.au/park/2159_259-George-St-Car-Park_9-Lang-Street-Sydney,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688739.6215,4424135.0292,9688739.6215,4424135.0292,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@87fb3d')",,,,
FRD-041,Secure,The Wharf,10,Lincoln Cres,Woolloomooloo,NSW,2011,1.9,91,LIN-01,Cowper Wharf and end,930,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/woolloomooloo,02 8912 4900,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689957.5003,4423710.8989,9689957.5003,4423710.8989,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@a2314d')",,,,
FRD-042,Mercure Hotel,Mercure Hotel,12,Little Regent St,Chippendale,NSW,2008,2.1,118,LTR-01,George and Lee,0,0,,http://www.mercuresydney.com.au/location-en.html,02 9217 6666 ,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688369.4764,4421906.6459,9688369.4764,4421906.6459,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1038ebf')",,,,
FRD-043,Metro Parking Management,Sydney Eye Hospital,8,Macquarie  St,Sydney,NSW,2000,1.9,377,MAC-06,Hunter and St James,630,2130,,http://www.metroparking.com.au/cms-new-south-wales/sydney-eye-hospital.phps,02 9223 1166,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689307.0998,4423667.8417,9689307.0998,4423667.8417,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1e8500a')",,,,
FRD-015,Secure,60 Elizabeth St,60,Elizabeth St,Sydney,NSW,2000,1.9,135,ELI-01,Hunter and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/60-elizabeth-street,02 8912 4900,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689147.5362,4423650.3212,9689147.5362,4423650.3212,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@12eba22')",,,,
FRD-016,Wilson,Grosvenor Place,7,Essex St,The Rocks,NSW,2000,2,552,ESS-01,Harrington and George,600,2000,,https://www.wilsonparking.com.au/park/2086_grosvenor-place-car-park_7-essex-street-the-rocks,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688866.4547,4424320.5747,9688866.4547,4424320.5747,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@ca239f')",,,,
FRD-017,Wilson,155 George Street,155,George St,The Rocks,NSW,2000,2,131,GEO-03,Hickson and Alfred,600,0,,https://www.wilsonparking.com.au/park/2155_155-george-st-car-park_155-george-street-the-rocks,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688967.6232,4424459.2397,9688967.6232,4424459.2397,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@a1ba9')",,,,
FRD-018,Wilson,Overseas Passenger Terminal,130,George St,The Rocks,NSW,2000,4.3,102,GEO-02,Hickson and Alfred,0,0,,https://www.wilsonparking.com.au/park/2208_Overseas-Passenger-Terminal-Car-Park_130-George-St-The-Rocks-,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689018.6749,4424649.1684,9689018.6749,4424649.1684,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@e716eb')",,,,
FRD-019,Secure,Goulburn Street Parking Station,101,Goulburn St,Haymarket,NSW,2000,1.98,735,GOU-05,Castlereagh and Elizabeth,600,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/goulburn-street,02 8912 4900,,WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688941.6669,4422516.235,9688941.6669,4422516.235,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1e1e5e3')",,,,
FRD-020,Secure,World Square (Goulbourn Street),50,Goulburn St,Sydney,NSW,2000,2.2,359,GOU-03,George and Pitt,700,100,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/world-square,02 8912 4900,,EAST,NORTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688680.6057,4422608.0535,9688680.6057,4422608.0535,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@7c7c8d')",,,,
FRD-021,Wilson,Darling Quarter,1,Harbour St,Sydney,NSW,2000,2.2,588,HBR-01,Bathurst and Liverpool,0,0,,https://www.wilsonparking.com.au/park/2201_Darling-Quarter-Car-Park_111-Harbour-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688412.3327,4422973.551,9688412.3327,4422973.551,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1551d68')",,,,
FRD-023,Wilson,Clocktower Car Park,55,Harrington St,The Rocks,NSW,2000,2,132,HAR-02,Argyle and Essex,600,100,,https://www.wilsonparking.com.au/park/2186_Clocktower-Car-Park_55-Harrington-Street-The-Rocks,02 9006 3200,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688916.3493,4424553.0294,9688916.3493,4424553.0294,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@18896b4')",,,,
FRD-024,Wilson,Quay West,111,Harrington St,The Rocks,NSW,2000,2,600,HAR-02,Argyle and Essex,630,100,,https://www.wilsonparking.com.au/park/2176_Quay-West-Car-Park_111-Harrington-St-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688844.7392,4424393.3754,9688844.7392,4424393.3754,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@183c799')",,,,
FRD-026,Wilson,Barangaroo Point car park,25,Hickson Rd,Millers Point,NSW,2000,2.1,188,HIC-01,Towns Pl and Windmill,500,0,,https://www.wilsonparking.com.au/park/2143_Towns-Place_Towns-Place-Walsh-Bay,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688474.2053,4424889.8168,9688474.2053,4424889.8168,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@ff30e2')",,,,
FRD-027,Secure,Amora Hotel,11,Jamison St,Sydney,NSW,2000,2,89,JAM-01,York and George,700,2300,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/amora-hotel,02 8912 4900,,WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688760.1379,4424072.4253,9688760.1379,4424072.4253,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@11f6428')",,,,
FRD-028,Secure,Met Centre,30,Jamison St,Sydney,NSW,2000,2.1,155,JAM-01,York and George,700,1900,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/met-centre,02 8912 4900,,WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688822.2472,4424091.4397,9688822.2472,4424091.4397,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@59a583')",,,,
FRD-001,Sir Stamford Hotel,93 Macquarie Street,2,Albert St,Sydney,NSW,2000,2.1,94,ALB-01,Philip and Macquarie,0,0,,http://www.stamford.com.au/sscq/location/hotel-parking-and-transfers,02 9252 4600,,EAST/WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689359.2652,4424311.7945,9689359.2652,4424311.7945,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@c305a8')",,,,
FRD-003,Wilson,No. 1 OConnell St Car Park,3,Bent St,Sydney,NSW,2000,2.1,100,BEN-01,Gresham and Loftus,600,1900,,https://www.wilsonparking.com.au/park/2150_No.-1-OConnell-St-Car-Park_3-Bent-Street-Sydney,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689082.3869,4424076.7396,9689082.3869,4424076.7396,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@6d569b')",,,,
FRD-004,Wilson,The Chifley Tower,27,Bent St,Sydney,NSW,2000,2.2,362,BEN-04,Phillip and Macquarie,700,2130,,https://www.wilsonparking.com.au/park/2157_the-chifley-tower-car-park_2-chifley-square-sydney,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689272.0983,4423958.3993,9689272.0983,4423958.3993,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@17df757')",,,,
FRD-005,Secure,Sofitel Wentworth Hotel,15,Bligh St,Sydney,NSW,2000,2.5,173,BLI-01,Bent and Hunter,600,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/sofitel-wentworth-hotel,02 8912 4900,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689164.088,4423962.0904,9689164.088,4423962.0904,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@13a437f')",,,,
FRD-006,Wilson,Australia Square,31,Bond St,Sydney,NSW,2000,1.75,380,BON-01,George and Pitt,600,30,,https://www.wilsonparking.com.au/park/2077_australia-square-car-park_bond-street-sydney-2000,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688933.0702,4424042.7201,9688933.0702,4424042.7201,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1ba32e3')",,,,
FRD-007,Capitol Square,Capitol Square,3,Campbell St,Haymarket,NSW,2000,2.1,130,CAM-01,George and Pitt,700,0,,http://www.capitolsquare.com.au/services/capitol_square_carpark.php,02 9211 9421,,WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688653.8353,4422446.4249,9688653.8353,4422446.4249,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1da7d56')",,,,
FRD-008,Secure,Piccadilly,133,Castlereagh St,Sydney,NSW,2000,1.8,231,CAS-04,Market and Park,600,100,TRUE,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/piccadilly,02 8912 4900,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689014.5318,4423297.8847,9689014.5318,4423297.8847,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@151de22')",,,,
FRD-009,Sheraton,Sheraton,138,Castlereagh St,Sydney,NSW,2000,1.9,115,CAS-04,Market and Park,0,0,,http://www.sheratonontheparksydney.com/en/carparkingsydney,02 9286 6608,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689019.2217,4423262.7586,9689019.2217,4423262.7586,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@9258c7')",,,,
FRD-011,Secure,The Bowlers Club,168,Clarence St,Sydney,NSW,2000,1.8,70,CLA-06,King and Market,700,2300,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/bowlers-club,02 8912 4900,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688668.7241,4423459.1102,9688668.7241,4423459.1102,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1fdf943')",,,,
FRD-012,Wilson,St Martins Tower,190,Clarence St,Sydney,NSW,2000,2,163,CLA-07,Market and Park,700,2200,,https://www.wilsonparking.com.au/park/2135_st-martins-tower-car-park_190202-clarence-street-sydney,02 9006 3200,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688682.2266,4423335.1888,9688682.2266,4423335.1888,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@194b329')",,,,
FRD-013,Secure,1 Dixon Street,6,Harbour St,Sydney,NSW,2000,2.2,88,HBR-02,Liverpool and Goulburn,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/number-1-dixon-street,02 8912 4900,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688462.1552,4422790.9819,9688462.1552,4422790.9819,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1b12ea')",,,,
FRD-044,Secure,Park House,187,Macquarie  St,Sydney,NSW,2000,1.85,14,MAC-05,Hunter and St James,700,1930,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/parkhouse,02 8912 4900,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689280.9314,4423780.585,9689280.9314,4423780.585,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@f4817d')",,,,
FRD-045,Wilson,Sydney Opera House,2,Macquarie  St,Sydney,NSW,2000,2.1,1153,MAC-01,Albert and end,0,0,,https://www.wilsonparking.com.au/park/2139_Sydney-Opera-House-Car-Park_2A-Macquarie-St-Sydney,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689478.3295,4424683.6879,9689478.3295,4424683.6879,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@b5441b')",,,,
FRD-046,Wilson,175 Liverpool St,26,Nithsdale St,Sydney,NSW,2000,1.94,266,NIT-01,Clarke and Goulburn,700,0,,https://www.wilsonparking.com.au/park/2024_175-Liverpool-St-Car-Park_26-Nithsdale-Street-Sydney,02 9006 3200,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689063.9022,4422599.5923,9689063.9022,4422599.5923,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1ca76fe')",,,,
FRD-047,Secure,6-10 O'Connell Street,6,O'Connell St,Sydney,NSW,2000,1.9,108,OCO-01,Bent and Hunter,700,1830,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/6-10-o-connell-street,02 8912 4900,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689107.576,4424019.9357,9689107.576,4424019.9357,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@3e470')",,,,
FRD-048,Wilson,1 Bligh Street,4,O'Connell St,Sydney,NSW,2000,2.1,100,OCO-01,Bent and Hunter,600,1900,,https://www.wilsonparking.com.au/park/2240_1-Bligh-St-Car-Park_OConnell-Street-Sydney,02 9006 3200,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689116.6341,4424028.887,9689116.6341,4424028.887,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1a850c5')",,,,
FRD-049,Enacom,Intercontinental Hotel,40,Phillip St,Sydney,NSW,2000,2.38,116,PHI-01,Alfred and Bridge,600,2300,,http://www.enacon.com.au/,02 9380 8851,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689295.6518,4424218.8665,9689295.6518,4424218.8665,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@7d1d29')",,,,
