FRD_ID,OWNER,BUILDING_NAME_LOCATION,STREET_NUMBER_GPS,STREET_NAME_GPS,SUBURB_GPS,STATE,POSTCODE,HEIGHT_RES,TOTAL_NUMBER_OF_BAYS,KERBSIDE_REF,BETWEEN_,OPEN,CLOSE,PREFERRED,URL,PHONE,COMMENTS,ROAD_DIRECTION_ACCESS,KERB,LAST_UPDATED,EDITED_BY,EDITED_ON,SHAPE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
FRD-050,Wilson,Governor Phillip Tower,43,Phillip St,Sydney,NSW,2000,2.01,629,PHI-02,Bridge and Bent,600,2100,,https://www.wilsonparking.com.au/park/2137_Governor-Phillip-Tower-Car-Park_43-Phillip-St-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689249.9953,4424071.9544,9689249.9953,4424071.9544,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@b965a3')",,,,
FRD-051,Secure,131 Macquarie Street,1,Phillip Ln,Sydney,NSW,2000,1.9,74,PHL-01,Aurora and Philip,700,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/131-macquarie-street,02 8912 4900,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689331.7262,4424109.2174,9689331.7262,4424109.2174,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@fa4add')",,,,
FRD-052,Secure,109 Pitt Street,109,Pitt St,Sydney,NSW,2000,1.9,112,PIT-04,Hunter and King,630,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/109-pitt-street,02 8912 4900,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688933.7592,4423880.7623,9688933.7592,4423880.7623,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1238834')",,,,
FRD-054,Secure,Hilton,259,Pitt St,Sydney,NSW,2000,1.9,429,PIT-08,Market and Park,0,0,TRUE,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/hilton-sydney,02 8912 4900,Valet Parking Only,NORTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688896.1949,4423237.9937,9688896.1949,4423237.9937,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@f98a16')",,,,
FRD-055,Secure,No 1 Martin Place,159,Pitt St,Sydney,NSW,2000,2.1,368,PIT-05,Hunter and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/no-1-martin-place,02 8912 4900,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688930.5706,4423654.7432,9688930.5706,4423654.7432,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1750e32')",,,,
FRD-056,Wilson,37 Pitt Street,4,Underwood St,Sydney,NSW,2000,2,74,UND-01,Pitt and Dalley,700,1900,,https://www.wilsonparking.com.au/park/2225_37-Pitt-St-Car-Park_68-Underwood-Street-Sydney,02 9006 3200,,WEST,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688986.9448,4424279.7834,9688986.9448,4424279.7834,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1ed0e8e')",,,,
FRD-057,Wilson,Angel Place Car Park,123,Pitt St,Sydney,NSW,2000,2.1,260,PIT-04,Hunter and King,600,0,,https://www.wilsonparking.com.au/park/2189_Angel-Place-Car-Park_123-Pitt-Street-Sydney,02 9006 3200,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688948.5864,4423826.2619,9688948.5864,4423826.2619,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1272e4a')",,,,
FRD-058,Wilson,Citigroup Centre,271,Pitt St,Sydney,NSW,2000,2.1,275,PIT-07,Market and Park,600,1900,,https://www.wilsonparking.com.au/park/2126_Citigroup-Centre-Car-Park_271-Pitt-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688895.1116,4423243.2502,9688895.1116,4423243.2502,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@3999ee')",,,,
FRD-059,Wilson,Market City - Level B2/B3,2,Quay St,Haymarket,NSW,2000,2.2,619,QUA-01,Ultimo and end,0,0,,https://www.wilsonparking.com.au/park/2109_Market-City-Car-Park_2-Quay-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688343.1004,4422421.1164,9688343.1004,4422421.1164,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1fbf7cd')",,,,
FRD-060,Wilson,Market City - Level B1,2,Quay St,Haymarket,NSW,2000,2.2,619,QUA-01,Ultimo and end,100,100,,https://www.wilsonparking.com.au/park/2109_Market-City-Car-Park_2-Quay-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688343.1004,4422421.1164,9688343.1004,4422421.1164,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1b008e7')",,,,
FRD-061,Wilson,Gateway,25,Reiby Pl,Sydney,NSW,2000,2,195,REI-01,Pitt and Loftus,600,1900,,https://www.wilsonparking.com.au/park/2239_Gateway-Car-Park_25-Reiby-Pl-Sydney,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9689063.6919,4424348.0962,9689063.6919,4424348.0962,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@10f2529')",,,,
FRD-062,Secure,King Street Wharf,1,Shelley St,Sydney,NSW,2000,2.2,154,SHE-01,Sussex and Erskine,600,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/Sydney%20CBD%20Central/king-street-wharf,02 8912 4900,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688391.0124,4423868.906,9688391.0124,4423868.906,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@ef6a48')",,,,
FRD-064,Secure,132 Sussex Street,132,Sussex  St,Sydney,NSW,2000,1.9,60,SUS-03,Erskine and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/132-sussex-street,02 8912 4900,Casual Parking Not avaliable/ Call and Book Only,NORTH/SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688493.1018,4423634.7673,9688493.1018,4423634.7673,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1e0d622')",,,,
FRD-066,Wilson,321 Kent Street,86,Sussex  St,Sydney,NSW,2000,2.1,319,SUS-03,Erskine and King,600,0,,https://www.wilsonparking.com.au/park/2236_321-Kent-St-Car-Park_86-Sussex-Street-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688483.5833,4423784.4143,9688483.5833,4423784.4143,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1cabf5a')",,,,
FRD-067,Secure,Allianz Centre,186,Sussex  St,Sydney,NSW,2000,2,288,SUS-04,King and Market,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/allianz-centre,02 9006 3200,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688502.5223,4423422.7255,9688502.5223,4423422.7255,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@195b191')",,,,
FRD-068,Wilson,Darling Park,201,Sussex  St,Sydney,NSW,2000,2.1,834,SUS-05,Market and Druitt,600,2200,TRUE,https://www.wilsonparking.com.au/park/2076_Darling-Park-Car-Park_201-Sussex-Street-Sydney,02 9006 3200,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688499.7158,4423275.8149,9688499.7158,4423275.8149,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1c7226e')",,,,
FRD-069,Wilson,Novatel,179,Thomas St,Haymarket,NSW,2000,2.1,589,THO-03,Ultimo and Quay,0,0,,https://www.wilsonparking.com.au/park/2108_Novotel-Sydney-Central-Citigate-Car-Park_169179-Thomas-Street-Haymarket,02 9006 3200,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688344.6608,4422168.0094,9688344.6608,4422168.0094,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@a9c257')",,,,
FRD-070,Wilson,187 Thomas Street,187,Thomas St,Haymarket,NSW,2000,2.1,82,THO-02,Ultimo and Quay,700,0,,https://www.wilsonparking.com.au/park/2195_187-Thomas-St-Car-Park_187-Thomas-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688442.9157,4422225.8094,9688442.9157,4422225.8094,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@18cd072')",,,,
FRD-071,Wilson,HSBC Centre,14,Wilmot St,Sydney,NSW,2000,2,137,WIL-01,George and Pitt,700,1900,,https://www.wilsonparking.com.au/park/2130_HSBC-Centre-Car-Park_14-Wilmot-Street-Sydney,02 9006 3200,,EAST,NORTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688781.7993,4422894.7416,9688781.7993,4422894.7416,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@ddf089')",,,,
FRD-074,Wilson,71 York Street,71,York St,Sydney,NSW,2000,1.9,38,YOR-04,Erskine and King,700,1900,,https://www.wilsonparking.com.au/park/2271_71-York-St-Car-Park_71-York-Street-Sydney-,02 8912 4900,,SOUTH,WEST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688689.0269,4423662.2577,9688689.0269,4423662.2577,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@11e432c')",,,,
FRD-075,Secure,Landmark,22,York St,Sydney,NSW,2000,1.9,29,YOR-05,Erskine and King,700,2000,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/landmark,02 8912 4900,,SOUTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688745.9926,4423675.3795,9688745.9926,4423675.3795,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1797d5f')",,,,
FRD-076,Wilson,Queen Victoria Building,111,York St,Sydney,NSW,2000,1.95,634,YOR-06,Market and Druitt,600,0,,https://www.wilsonparking.com.au/park/2036_Queen-Victoria-Building-Car-Park_111-York-Street-Sydney,02 9006 3200,,SOUTH,SOUTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688732.5897,4423347.29,9688732.5897,4423347.29,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@3ad1b')",,,,
FRD-077,Wilson,201 Elizabeth St,190,Casltereagh St,Sydney,NSW,2000,1.9,30,CAS-05,Park and Bathurst,700,1800,TRUE,https://www.wilsonparking.com.au/park/2270_201-Elizabeth-St-Car-Park_201-Elizabeth-Street-Sydney,1800 727 5464,Height restriction is 3.4m on entry level; all other levels are 1.9m high,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688998.24,4423061.3022,9688998.24,4423061.3022,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@f07524')",,,,
FRD-078,Wilson,Barangaroo Reserve Car Park,2,Towns Place,Millers Point,NSW,2000,2.2,300,TOW-01,Hickson and Dalgety,0,0,,https://www.wilsonparking.com.au/park/2266_Barangaroo-Reserve-Car-Park_Barangaroo-Point,1800 727 5464,,EAST/WEST,NORTH,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688427.8033,4424976.0873,9688427.8033,4424976.0873,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@81c885')",,,,
FRD-079,Wilson,44 Market St,178,Clarence St,Sydney,NSW,2000,1.9,20,CLA-06,King and Market,700,1900,,https://www.wilsonparking.com.au/park/2071_44-Market-St-Car-Park_44-Market-Street-Sydney,1800 727 5464,,NORTH,EAST,1/09/2016,,,"SDE.ST_GEOMETRY(1,1,9688665.4747,4423406.0037,9688665.4747,4423406.0037,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1f924e1')",,,,
FRD-025,Wilson,Bond One ,20,Windmill St,Walsh Bay,NSW,2000,2.2,173,HIC-02,Towns Pl and Pottinger,600,0,,,,,,,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688564.4987,4424906.3804,9688564.4987,4424906.3804,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@7c8482')",,17/MAY/20,,17/MAY/20
FRD-177,Secure,Rialto Square,100,Bathurst St,Sydney,NSW,2000,1.8,,,Wilmot St and Park St,600,2200,,"https://www.secureparking.com.au/en-au/car-parks/australia/new-south-wales/sydney/sydney-cbd/rialto-square-car-park#lat=-33.8688197&long=151.2092955&Add=Sydney NSW, Australia&Sort=+Distance&sp=0&ProductTypes=&Entry=2020-09-08T12:00:00&Exit=2020-09-08T14:00:00&D=&A=3&P=24b2dc39-b651-4936-b061-4c18ccfc9ce4&R=8aab130b-7303-43e1-910b-d552db30b870&T=28b14ea7-2189-4e5a-92a2-c0145302fcb2",02 8912 4900,Car park located immediately below the Meriton,EAST,NORTH,17/05/2020,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688852.0683,4422982.6077,9688852.0683,4422982.6077,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@f0f875')",,17/MAY/20,,17/MAY/20
FRD-010,Enacom,Cathedral Street,2,Cathedral St,Sydney,NSW,2000,2.1,355,CAT-01,St Marys and end,600,2200,,http://www.enacon.com.au/,02 9380 8850,,EAST/WEST,NORTH,6/10/2015,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9689414.8051,4423239.8328,9689414.8051,4423239.8328,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@17d37fa')",,17/MAY/20,,17/MAY/20
FRD-063,Wilson,Domain,1,St Marys Rd,Sydney,NSW,2000,1.9,1079,STM-01,Cathedral and Riley,600,0,,http://www.domaincarpark.com.au/rates-a-times.html,02 9006 3200,,,NORTH,6/10/2015,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9689539.1595,4423258.3536,9689539.1595,4423258.3536,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@f80bc2')",,17/MAY/20,,17/MAY/20
FRD-065,Sun Parking,Sussex Centre,401,Sussex St,Haymarket,NSW,2000,3.25,50,SUS-09,Goulburn and Hay,830,0,,https://www.parkopedia.com.au/parking/carpark/sussex_centre/2000/sydney/?arriving=202005161430&leaving=202005161630,,,SOUTH,WEST,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688553.5847,4422554.5606,9688553.5847,4422554.5606,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@8eb36a')",,17/MAY/20,,17/MAY/20
FRD-081,ICC Sydney,Exhibition Centre - P1,14 ,Darling Drive,Sydney,NSW,2000,2.2,719,,Pyrmont St and Harbour St,0,0,,https://www.iccsydney.com.au/visit-icc-sydney/Getting-To-ICC-Sydney#parking-information,,,SOUTH,EAST,17/05/2020,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688033.8427,4422923.0763,9688033.8427,4422923.0763,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@e230ee')",,17/MAY/20,,17/MAY/20
FRD-082,ICC Sydney,FIrst State Super Theatre - P2,14,Darling Drive,Sydney,NSW,2000,2.2,107,,Pyrmont St and Harbour St,0,0,,https://www.iccsydney.com.au/Getting-to-ICC-Sydney,,,SOUTH,EAST,17/05/2020,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688078.1605,4422797.3989,9688078.1605,4422797.3989,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@196363a')",,17/MAY/20,,17/MAY/20
FRD-090,Wilson,Jones Bay Wharf,17,Pirrama Rd,Pyrmont,NSW,2009,2.15,104,,Pirrama Rd and Mill St,600,0030,,https://www.wilsonparking.com.au/park/2128_Jones-Bay-Wharf-Car-Park_17-23-Pirrama-Road-Pyrmont,02 9006 3200,,NORTH,WEST,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9687580.0814,4424093.1984,9687580.0814,4424093.1984,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@2f54a3')",,17/MAY/20,,17/MAY/20
FRD-085,Wilson,233 Castlereagh St,324 ,Pitt St,Sydney,NSW,2000,1.8,80,,Liverpool St and Bathurst St,700,1900,,https://www.wilsonparking.com.au/park/2286_233-Castlereagh-St-Car-Park_233-Castlereagh-Street-Sydney-,02 9006 3200,,,,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688867.6126,4422808.6438,9688867.6126,4422808.6438,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@dbfd')",,17/MAY/20,,17/MAY/20
FRD-086,Secure,255 Elizabeth St,242,Castlereagh St,Sydney,NSW,2000,2,,,Liverpool and Bathurst,700,1900,,https://www.secureparking.com.au/en-au/car-parks/australia/new-south-wales/sydney/sydney-cbd/255-elizabeth-street-car-park,02 8912 4900,,SOUTH,EAST,17/05/2020,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688960.8784,4422827.8261,9688960.8784,4422827.8261,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@13fd214')",,17/MAY/20,,17/MAY/20
FRD-088,Secure,320 Harris St,,Camden Lane,Pyrmont,NSW,2009,2.2,174,,Harris St and Pyrmont St,0,0,,"https://www.secureparking.com.au/en-au/car-parks/australia/new-south-wales/sydney/darling-harbour/harris-street-car-park#lat=-33.87365140000001&long=151.1964852&Add=320 Harris Street, Pyrmont NSW, Australia&Sort=+Distance&sp=0&ProductTypes=&Entry=&Exit=&D=2hrs&A=undefined&P=6d825340-5dcd-4287-873d-0ccad8be2414&R=910342ea-7678-483e-bcab-dcdc4f282746&T=bc388906-d6bb-411b-934e-03f63a35aeb1",02 8912 4900,"Enter via Allen Street, then down Camden Lane",EAST,SOUTH,17/05/2020,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9687833.7512,4423130.1132,9687833.7512,4423130.1132,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1fa7bd5')",,17/MAY/20,,17/MAY/20
FRD-089,The Star,The Star,50,Pyrmont Road,Pyrmont,NSW,2009,2,1087,,Murray St and Jones Bay Rd,0,0,,https://www.star.com.au/sydney/about-us/getting-here-and-parking,(02) 9777 9000,The Star car park is accessible from Edward Street and Pirrama Road,NORTH,WEST,17/05/2020,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9687787.7797,4423702.9372,9687787.7797,4423702.9372,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@629ceb')",,17/MAY/20,,17/MAY/20
FRD-083,Wilson,56 Clarence St,,York Lane,Sydney,NSW,2000,1.8,10,,Clarence St and York St,0,0,,https://www.wilsonparking.com.au/park/2307_56-Clarence-St-Car-Park_56-Clarence-Street-Sydney,02 9006 3200,Monthly parking. Entry via York Lane,SOUTH,WEST,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688662.2294,4423891.4532,9688662.2294,4423891.4532,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1d62c08')",,17/MAY/20,,17/MAY/20
FRD-084,Wilson,Darling Square,,Zollner Circuit,Sydney,NSW,2000,2.1,151,,Darling Drive and Harbour St,0,0,,https://www.wilsonparking.com.au/park/2301_Darling-Square-Car-Park_Zollner-Circuit-Haymarket,02 9006 3200,,WEST,SOUTH,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9688214.7519,4422586.3933,9688214.7519,4422586.3933,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@947fa2')",,17/MAY/20,,17/MAY/20
FRD-087,Wilson,Harbourside Car Park,100,Murray St,Sydney,NSW,2000,2,1430,,Bunn St and Allen St,0,0,,https://www.harbourside.com.au/centre-info/parking,02 9006 3200,,SOUTH/NORTH,EAST,17/05/2020,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9687926.3555,4423317.9677,9687926.3555,4423317.9677,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@15e8f0d')",,17/MAY/20,,17/MAY/20
FRD-092,Sydney Fish Market,Sydney Fish Market,,Bank St,Pyrmont,NSW,2009,,300,,,0,0,,https://www.sydneyfishmarket.com.au/Home/Visit/Parking,,Entry via Bank St,,,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9687364.4456,4423384.1137,9687364.4456,4423384.1137,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@12896bb')",,17/MAY/20,,17/MAY/20
FRD-091,InterPark,The Atrium,2,Edward St,Pyrmont,NSW,2009,2.1,61,,Union St and Pirrama Rd,600,0,,https://www.interpark.com.au/parkings/the-atrium-building-pyrmont/,02 9225 0600,Entry from Union St,NORTH,EAST,,McGillL,17/MAY/20,"SDE.ST_POINTFROMTEXT(1,1,9687822.1756,4423598.4266,9687822.1756,4423598.4266,NULL,NULL,NULL,NULL,0,0,33,'oracle.sql.BLOB@1e17774')",,17/MAY/20,,17/MAY/20
